customer_id,purchase_count,last_purchase_date,churn_status
CUST00001,3,2025-06-24,Churned
CUST00002,4,2025-09-21,Churned
CUST00003,3,2025-11-24,Active
CUST00004,6,2025-12-09,Active
CUST00005,5,2025-12-23,Active
CUST00006,3,2025-06-16,Churned
CUST00007,2,2025-02-19,Churned
CUST00008,1,2025-11-12,Active
CUST00009,2,2025-03-13,Churned
CUST00010,6,2025-12-06,Active
CUST00011,4,2025-12-05,Active
CUST00012,6,2025-08-03,Churned
CUST00013,3,2025-11-14,Active
CUST00014,6,2025-11-10,Active
CUST00015,4,2025-12-18,Active
CUST00016,6,2024-12-12,Churned
CUST00017,6,2025-09-04,Churned
CUST00018,6,2024-09-06,Churned
CUST00019,4,2025-12-19,Active
CUST00020,5,2025-11-01,Active
CUST00021,7,2025-11-19,Active
CUST00022,4,2025-04-07,Churned
CUST00023,2,2025-11-06,Active
CUST00024,4,2025-10-05,Active
CUST00025,5,2025-12-13,Active
CUST00026,3,2025-07-24,Churned
CUST00027,1,2025-09-26,Churned
CUST00028,4,2025-10-29,Active
CUST00029,9,2025-11-26,Active
CUST00030,2,2025-04-02,Churned
CUST00031,5,2025-10-16,Active
CUST00032,7,2025-07-27,Churned
CUST00033,6,2025-09-04,Churned
CUST00034,2,2025-08-23,Churned
CUST00035,5,2025-12-12,Active
CUST00036,6,2025-08-15,Churned
CUST00037,6,2025-08-26,Churned
CUST00038,7,2025-12-30,Active
CUST00039,4,2025-09-22,Churned
CUST00040,11,2025-10-08,Active
CUST00041,4,2025-12-03,Active
CUST00042,2,2025-10-06,Active
CUST00043,10,2025-12-26,Active
CUST00044,4,2025-12-26,Active
CUST00045,7,2025-11-05,Active
CUST00046,4,2025-06-30,Churned
CUST00047,2,2025-09-04,Churned
CUST00048,5,2025-07-21,Churned
CUST00049,5,2025-09-04,Churned
CUST00050,4,2025-11-10,Active
CUST00051,5,2025-07-13,Churned
CUST00052,7,2025-09-25,Churned
CUST00053,10,2025-12-18,Active
CUST00054,2,2025-01-14,Churned
CUST00055,3,2025-06-04,Churned
CUST00056,4,2025-12-15,Active
CUST00057,6,2025-11-03,Active
CUST00058,5,2025-11-27,Active
CUST00059,1,2024-01-21,Churned
CUST00060,2,2025-08-07,Churned
CUST00061,4,2025-12-27,Active
CUST00062,7,2025-08-24,Churned
CUST00063,4,2025-09-30,Churned
CUST00064,3,2025-12-23,Active
CUST00065,4,2025-08-16,Churned
CUST00066,5,2025-09-03,Churned
CUST00067,6,2025-12-19,Active
CUST00068,9,2025-07-14,Churned
CUST00069,9,2025-10-28,Active
CUST00070,7,2025-08-09,Churned
CUST00071,3,2025-02-05,Churned
CUST00072,4,2025-10-19,Active
CUST00073,3,2025-07-31,Churned
CUST00074,5,2025-06-23,Churned
CUST00075,6,2025-10-06,Active
CUST00076,9,2025-10-22,Active
CUST00077,7,2025-02-13,Churned
CUST00078,5,2025-03-12,Churned
CUST00079,6,2025-08-16,Churned
CUST00080,7,2025-08-06,Churned
CUST00081,6,2025-12-07,Active
CUST00082,5,2025-09-15,Churned
CUST00083,3,2025-07-27,Churned
CUST00084,6,2025-11-11,Active
CUST00085,5,2025-09-27,Churned
CUST00086,9,2025-08-29,Churned
CUST00087,5,2025-12-12,Active
CUST00088,4,2025-10-05,Active
CUST00089,1,2025-01-16,Churned
CUST00090,9,2025-12-29,Active
CUST00091,3,2025-06-27,Churned
CUST00092,10,2025-12-23,Active
CUST00093,8,2025-08-30,Churned
CUST00094,3,2025-06-12,Churned
CUST00095,6,2025-11-22,Active
CUST00096,4,2025-08-19,Churned
CUST00097,3,2025-10-03,Active
CUST00098,2,2025-11-03,Active
CUST00099,2,2024-12-05,Churned
