customer_id,customer_name,country,region,customer_segment,signup_date,acquisition_channel
CUST00001,Customer 00001,United States,North America,SMB,2024-03-09,Paid Search
CUST00002,Customer 00002,South Korea,Asia,SMB,2025-11-28,Paid Search
CUST00003,Customer 00003,Brazil,South America,SMB,2025-01-17,Social
CUST00004,Customer 00004,Mexico,North America,Mid-Market,2025-12-25,Organic
CUST00005,Customer 00005,United Kingdom,Europe,SMB,2024-10-30,Organic
CUST00006,Customer 00006,Australia,Oceania,SMB,2025-09-01,Paid Search
CUST00007,Customer 00007,Canada,North America,SMB,2024-08-29,Organic
CUST00008,Customer 00008,United States,North America,Enterprise,2024-11-20,Referral
CUST00009,Customer 00009,Italy,Europe,SMB,2024-09-10,Paid Search
CUST00010,Customer 00010,Japan,Asia,SMB,2025-02-04,Partner
CUST00011,Customer 00011,Japan,Asia,SMB,2024-06-12,Referral
CUST00012,Customer 00012,Australia,Oceania,SMB,2025-01-02,Paid Search
CUST00013,Customer 00013,Canada,North America,Mid-Market,2025-09-06,Partner
CUST00014,Customer 00014,Argentina,South America,Mid-Market,2024-04-23,Organic
CUST00015,Customer 00015,Japan,Asia,SMB,2025-08-02,Referral
CUST00016,Customer 00016,Spain,Europe,Enterprise,2025-09-16,Referral
CUST00017,Customer 00017,United States,North America,SMB,2024-01-26,Organic
CUST00018,Customer 00018,Germany,Europe,Enterprise,2025-05-09,Organic
CUST00019,Customer 00019,Argentina,South America,SMB,2024-12-20,Paid Search
CUST00020,Customer 00020,United States,North America,SMB,2025-04-11,Paid Search
CUST00021,Customer 00021,Canada,North America,Enterprise,2024-08-03,Referral
CUST00022,Customer 00022,South Korea,Asia,Enterprise,2024-06-10,Organic
CUST00023,Customer 00023,Australia,Oceania,Mid-Market,2024-07-28,Organic
CUST00024,Customer 00024,Argentina,South America,Mid-Market,2024-04-21,Social
CUST00025,Customer 00025,United States,North America,Mid-Market,2024-10-23,Organic
CUST00026,Customer 00026,Germany,Europe,Mid-Market,2025-09-30,Social
CUST00027,Customer 00027,India,Asia,SMB,2025-07-23,Referral
CUST00028,Customer 00028,Germany,Europe,SMB,2024-05-11,Referral
CUST00029,Customer 00029,France,Europe,Mid-Market,2025-02-11,Paid Search
CUST00030,Customer 00030,Mexico,North America,Mid-Market,2024-02-23,Partner
CUST00031,Customer 00031,Mexico,North America,Enterprise,2024-02-13,Social
CUST00032,Customer 00032,Australia,Oceania,SMB,2025-04-02,Referral
CUST00033,Customer 00033,Thailand,Asia,SMB,2024-08-09,Referral
CUST00034,Customer 00034,South Korea,Asia,SMB,2025-05-29,Paid Search
CUST00035,Customer 00035,Singapore,Asia,Mid-Market,2024-04-23,Organic
CUST00036,Customer 00036,Italy,Europe,SMB,2024-03-28,Social
CUST00037,Customer 00037,United Kingdom,Europe,Enterprise,2025-06-06,Organic
CUST00038,Customer 00038,Japan,Asia,SMB,2024-05-31,Paid Search
CUST00039,Customer 00039,United Kingdom,Europe,SMB,2024-02-12,Paid Search
CUST00040,Customer 00040,Mexico,North America,Mid-Market,2025-07-30,Partner
CUST00041,Customer 00041,South Korea,Asia,SMB,2025-05-30,Referral
CUST00042,Customer 00042,Brazil,South America,Mid-Market,2025-11-10,Referral
CUST00043,Customer 00043,Mexico,North America,SMB,2025-03-13,Organic
CUST00044,Customer 00044,Japan,Asia,SMB,2024-12-14,Organic
CUST00045,Customer 00045,Chile,South America,Mid-Market,2025-05-05,Organic
CUST00046,Customer 00046,Brazil,South America,Enterprise,2025-08-01,Social
CUST00047,Customer 00047,India,Asia,SMB,2025-04-04,Organic
CUST00048,Customer 00048,Thailand,Asia,SMB,2024-08-21,Social
CUST00049,Customer 00049,Canada,North America,Mid-Market,2025-10-12,Organic
CUST00050,Customer 00050,France,Europe,Enterprise,2025-05-29,Partner
CUST00051,Customer 00051,Germany,Europe,Mid-Market,2025-10-03,Referral
CUST00052,Customer 00052,Germany,Europe,Mid-Market,2025-02-11,Partner
CUST00053,Customer 00053,United States,North America,SMB,2024-11-24,Referral
CUST00054,Customer 00054,Mexico,North America,Mid-Market,2025-09-08,Partner
CUST00055,Customer 00055,United States,North America,Enterprise,2025-03-23,Referral
CUST00056,Customer 00056,United States,North America,Enterprise,2025-07-21,Organic
CUST00057,Customer 00057,Thailand,Asia,Mid-Market,2025-10-12,Social
CUST00058,Customer 00058,Mexico,North America,Mid-Market,2024-07-26,Referral
CUST00059,Customer 00059,France,Europe,Enterprise,2024-05-21,Organic
CUST00060,Customer 00060,Italy,Europe,SMB,2024-04-19,Paid Search
CUST00061,Customer 00061,Canada,North America,SMB,2025-03-14,Paid Search
CUST00062,Customer 00062,Singapore,Asia,Enterprise,2025-08-13,Partner
CUST00063,Customer 00063,United States,North America,SMB,2025-12-14,Partner
CUST00064,Customer 00064,Mexico,North America,SMB,2024-01-24,Paid Search
CUST00065,Customer 00065,Mexico,North America,SMB,2024-01-02,Referral
CUST00066,Customer 00066,Mexico,North America,Mid-Market,2025-05-11,Organic
CUST00067,Customer 00067,Mexico,North America,Mid-Market,2024-07-16,Paid Search
CUST00068,Customer 00068,India,Asia,Mid-Market,2024-12-13,Partner
CUST00069,Customer 00069,Italy,Europe,SMB,2024-02-27,Organic
CUST00070,Customer 00070,Thailand,Asia,SMB,2024-02-25,Paid Search
CUST00071,Customer 00071,United Kingdom,Europe,SMB,2025-01-21,Organic
CUST00072,Customer 00072,Thailand,Asia,Enterprise,2025-05-18,Organic
CUST00073,Customer 00073,Argentina,South America,SMB,2025-10-09,Organic
CUST00074,Customer 00074,Spain,Europe,Mid-Market,2024-12-18,Organic
CUST00075,Customer 00075,Spain,Europe,Mid-Market,2025-04-16,Paid Search
CUST00076,Customer 00076,South Korea,Asia,Mid-Market,2025-09-20,Social
CUST00077,Customer 00077,South Korea,Asia,Mid-Market,2024-11-11,Organic
CUST00078,Customer 00078,Canada,North America,Mid-Market,2024-06-01,Partner
CUST00079,Customer 00079,United States,North America,Mid-Market,2025-08-26,Referral
CUST00080,Customer 00080,Canada,North America,SMB,2024-01-02,Organic
CUST00081,Customer 00081,Mexico,North America,SMB,2024-07-20,Organic
CUST00082,Customer 00082,India,Asia,SMB,2024-04-05,Organic
CUST00083,Customer 00083,Brazil,South America,SMB,2025-04-15,Partner
