sale_id,sale_date,customer_id,product_id,region,quantity,unit_price,discount,revenue,cost,profit,margin
SALE000001,2024-09-21,CUST03568,PROD001,Asia,2,49.0,0.05,85.08,43.56,41.52,0.488
SALE000002,2024-08-01,CUST02227,PROD012,North America,3,449.0,0.0,1395.63,960.85,434.78,0.3115
SALE000003,2024-01-07,CUST07729,PROD003,North America,1,499.0,0.15,467.3,238.31,228.99,0.49
SALE000004,2024-03-29,CUST07234,PROD002,Asia,5,149.0,0.0,816.87,446.24,370.63,0.4537
SALE000005,2024-05-18,CUST02999,PROD005,Oceania,3,199.0,0.0,1010.73,533.89,476.84,0.4718
SALE000006,2024-03-19,CUST02232,PROD015,North America,2,699.0,0.0,2603.35,1302.92,1300.43,0.4995
SALE000007,2025-11-25,CUST08847,PROD013,South America,2,89.0,0.05,149.04,109.69,39.35,0.264
SALE000008,2024-01-07,CUST04379,PROD006,South America,1,599.0,0.05,697.84,488.46,209.38,0.3
SALE000009,2024-10-11,CUST06514,PROD019,North America,1,25.0,0.2,21.55,14.39,7.16,0.3323
SALE000010,2025-12-16,CUST06579,PROD020,Oceania,3,75.0,0.0,304.73,221.66,83.07,0.2726
SALE000011,2024-03-26,CUST06888,PROD003,Asia,1,499.0,0.05,630.87,419.58,211.29,0.3349
SALE000012,2025-04-23,CUST09612,PROD001,North America,1,49.0,0.05,63.13,39.6,23.53,0.3727
SALE000013,2024-07-01,CUST07043,PROD020,Europe,1,75.0,0.1,77.19,46.96,30.23,0.3916
SALE000014,2024-08-22,CUST00604,PROD012,North America,5,449.0,0.1,2387.75,1757.02,630.73,0.2642
SALE000015,2024-11-20,CUST04005,PROD017,North America,3,99.0,0.0,384.97,214.56,170.41,0.4427
SALE000016,2025-02-27,CUST02217,PROD015,Europe,3,699.0,0.0,2023.95,1326.15,697.8,0.3448
SALE000017,2025-07-10,CUST02435,PROD018,North America,3,399.0,0.0,1449.16,942.54,506.62,0.3496
SALE000018,2025-03-28,CUST02222,PROD009,Asia,3,549.0,0.0,1585.47,856.99,728.48,0.4595
SALE000019,2024-01-16,CUST08498,PROD010,Oceania,10,39.0,0.0,414.21,213.52,200.69,0.4845
SALE000020,2024-05-13,CUST08836,PROD020,Europe,1,75.0,0.2,70.56,51.97,18.59,0.2635
SALE000021,2025-04-03,CUST02023,PROD014,Europe,1,249.0,0.1,231.28,130.66,100.62,0.4351
SALE000022,2024-07-30,CUST05512,PROD006,North America,10,599.0,0.0,6588.25,4207.3,2380.95,0.3614
SALE000023,2024-02-13,CUST04520,PROD009,Europe,2,549.0,0.15,855.85,497.72,358.13,0.4184
SALE000024,2025-02-04,CUST07509,PROD001,North America,5,49.0,0.1,310.89,226.05,84.84,0.2729
SALE000025,2024-08-19,CUST08667,PROD020,Asia,2,75.0,0.0,196.83,110.74,86.09,0.4374
SALE000026,2025-09-05,CUST04593,PROD014,North America,3,249.0,0.15,726.04,496.53,229.51,0.3161
SALE000027,2025-10-12,CUST04178,PROD011,Oceania,2,129.0,0.05,228.36,162.04,66.32,0.2904
SALE000028,2024-04-04,CUST04730,PROD011,Asia,10,129.0,0.2,1230.4,657.12,573.28,0.4659
SALE000029,2025-07-22,CUST04955,PROD020,Europe,1,75.0,0.15,85.51,55.54,29.97,0.3505
SALE000030,2025-09-19,CUST09738,PROD013,Europe,1,89.0,0.0,94.81,52.36,42.45,0.4477
SALE000031,2025-04-13,CUST01273,PROD004,Asia,5,79.0,0.15,362.85,221.21,141.64,0.3904
SALE000032,2025-03-21,CUST01650,PROD012,South America,1,449.0,0.05,665.29,388.04,277.25,0.4167
SALE000033,2024-12-05,CUST03924,PROD001,Oceania,5,49.0,0.0,234.27,159.09,75.18,0.3209
SALE000034,2024-12-23,CUST03974,PROD015,Europe,1,699.0,0.2,604.46,318.7,285.76,0.4728
SALE000035,2024-02-27,CUST04882,PROD015,North America,10,699.0,0.0,8564.28,5507.48,3056.8,0.3569
SALE000036,2024-04-15,CUST09870,PROD010,Oceania,1,39.0,0.1,40.77,20.96,19.81,0.4859
SALE000037,2025-05-15,CUST05841,PROD016,Asia,1,29.0,0.0,28.52,16.23,12.29,0.4309
SALE000038,2025-02-05,CUST02606,PROD002,Europe,1,149.0,0.05,144.78,82.42,62.36,0.4307
SALE000039,2024-05-07,CUST02645,PROD002,Asia,5,149.0,0.05,630.58,374.79,255.79,0.4056
SALE000040,2024-09-15,CUST01110,PROD002,Europe,1,149.0,0.0,262.21,148.93,113.28,0.432
SALE000041,2025-04-17,CUST00184,PROD011,Asia,2,129.0,0.0,347.03,258.94,88.09,0.2538
SALE000042,2024-05-18,CUST02964,PROD001,North America,1,49.0,0.05,102.19,61.41,40.78,0.3991
SALE000043,2024-06-03,CUST07015,PROD005,Europe,1,199.0,0.0,187.72,130.07,57.65,0.3071
SALE000044,2025-10-05,CUST08359,PROD020,South America,2,75.0,0.15,121.32,68.93,52.39,0.4318
SALE000045,2024-11-30,CUST06990,PROD004,Europe,3,79.0,0.1,216.97,108.65,108.32,0.4992
SALE000046,2024-12-02,CUST09956,PROD020,Asia,2,75.0,0.0,191.94,98.51,93.43,0.4868
SALE000047,2024-02-23,CUST02484,PROD016,Asia,3,29.0,0.0,105.32,73.27,32.05,0.3043
SALE000048,2024-02-28,CUST06232,PROD008,Asia,2,179.0,0.1,287.09,167.19,119.9,0.4176
SALE000049,2025-04-19,CUST07730,PROD015,Europe,1,699.0,0.2,808.88,628.36,180.52,0.2232
SALE000050,2024-08-08,CUST09897,PROD014,North America,5,249.0,0.0,1362.61,944.82,417.79,0.3066
SALE000051,2024-07-23,CUST02890,PROD013,Europe,1,89.0,0.0,101.01,68.46,32.55,0.3222
SALE000052,2024-05-12,CUST01781,PROD002,Europe,1,149.0,0.05,174.24,129.44,44.8,0.2571
SALE000053,2025-07-04,CUST09773,PROD002,North America,2,149.0,0.0,324.33,185.78,138.55,0.4272
SALE000054,2025-11-17,CUST06292,PROD015,Oceania,5,699.0,0.05,2791.76,1559.91,1231.85,0.4412
SALE000055,2024-07-09,CUST07838,PROD008,North America,1,179.0,0.0,178.78,132.45,46.33,0.2591
SALE000056,2024-06-26,CUST05926,PROD010,Europe,1,39.0,0.2,56.47,35.23,21.24,0.3761
SALE000057,2025-07-23,CUST01421,PROD014,North America,5,249.0,0.0,2107.84,1546.68,561.16,0.2662
SALE000058,2025-01-05,CUST01315,PROD010,Europe,2,39.0,0.0,94.35,55.11,39.24,0.4159
SALE000059,2025-08-03,CUST03187,PROD008,North America,1,179.0,0.05,189.56,138.87,50.69,0.2674
SALE000060,2025-06-28,CUST06159,PROD003,Europe,5,499.0,0.1,4173.93,3335.64,838.29,0.2008
SALE000061,2025-08-04,CUST09575,PROD020,Europe,5,75.0,0.0,384.97,252.46,132.51,0.3442
SALE000062,2024-04-25,CUST05364,PROD008,Oceania,2,179.0,0.05,348.06,229.65,118.41,0.3402
SALE000063,2025-01-26,CUST05223,PROD016,Europe,5,29.0,0.0,159.67,113.44,46.23,0.2895
SALE000064,2024-11-15,CUST07564,PROD004,Asia,1,79.0,0.0,85.07,53.39,31.68,0.3724
SALE000065,2025-09-25,CUST06870,PROD007,North America,5,59.0,0.05,323.87,230.65,93.22,0.2878
SALE000066,2025-04-22,CUST08305,PROD001,North America,1,49.0,0.0,53.96,29.86,24.1,0.4466
SALE000067,2025-06-28,CUST03039,PROD002,Europe,10,149.0,0.0,2810.72,1996.99,813.73,0.2895
SALE000068,2025-10-06,CUST02241,PROD009,Asia,3,549.0,0.0,1671.91,965.14,706.77,0.4227
SALE000069,2025-05-19,CUST06758,PROD007,South America,3,59.0,0.0,153.16,100.71,52.45,0.3425
SALE000070,2025-04-23,CUST01101,PROD003,Europe,10,499.0,0.15,5271.98,3430.09,1841.89,0.3494
SALE000071,2025-01-22,CUST07763,PROD005,Asia,3,199.0,0.1,642.38,405.45,236.93,0.3688
SALE000072,2024-02-28,CUST09244,PROD004,Asia,1,79.0,0.0,81.31,41.7,39.61,0.4871
SALE000073,2025-06-10,CUST06544,PROD016,North America,5,29.0,0.15,128.67,76.47,52.2,0.4057
SALE000074,2024-08-23,CUST07407,PROD007,Oceania,2,59.0,0.05,148.68,88.97,59.71,0.4016
SALE000075,2024-03-31,CUST05355,PROD007,Oceania,5,59.0,0.1,244.07,161.4,82.67,0.3387
SALE000076,2024-09-13,CUST03624,PROD010,South America,1,39.0,0.05,36.45,19.15,17.3,0.4746
SALE000077,2024-09-10,CUST02208,PROD004,Asia,1,79.0,0.2,68.78,37.66,31.12,0.4525
SALE000078,2024-10-10,CUST05367,PROD005,Asia,1,199.0,0.0,176.66,125.64,51.02,0.2888
SALE000079,2024-07-23,CUST09041,PROD005,Europe,2,199.0,0.0,456.54,234.29,222.25,0.4868
SALE000080,2025-11-19,CUST08224,PROD020,Oceania,1,75.0,0.1,89.08,54.17,34.91,0.3919
SALE000081,2025-10-07,CUST03711,PROD013,South America,2,89.0,0.1,164.44,121.54,42.9,0.2609
SALE000082,2024-01-27,CUST01627,PROD019,Asia,2,25.0,0.0,42.23,28.89,13.34,0.3159
SALE000083,2024-12-29,CUST09898,PROD018,North America,10,399.0,0.0,7158.74,3978.43,3180.31,0.4443
SALE000084,2024-08-08,CUST00014,PROD005,South America,1,199.0,0.15,185.08,125.67,59.41,0.321
SALE000085,2025-09-12,CUST01833,PROD001,Asia,2,49.0,0.0,76.23,38.24,37.99,0.4984
SALE000086,2024-12-25,CUST05465,PROD009,Europe,10,549.0,0.0,5522.39,3785.98,1736.41,0.3144
