date,region,product,revenue,cost
2026-01-01,Europe,Software,133218.68,90256.49
2026-01-01,Europe,Hardware,162909.53,120332.26
2026-01-01,Europe,Services,121851.35,80210.34
2026-01-01,Asia,Software,111580.72,77177.2
2026-01-01,Asia,Hardware,127504.62,92801.29
2026-01-01,Asia,Services,111434.03,73143.94
2026-01-01,North America,Software,170697.06,118321.85
2026-01-01,North America,Hardware,182487.59,131035.77
2026-01-01,North America,Services,157030.55,97869.38
2026-01-02,Europe,Software,135368.25,92777.6
2026-01-02,Europe,Hardware,159928.32,115728.65
2026-01-02,Europe,Services,150851.62,98822.27
2026-01-02,Asia,Software,112463.33,75073.91
2026-01-02,Asia,Hardware,139437.35,99003.11
2026-01-02,Asia,Services,105880.22,68507.58
2026-01-02,North America,Software,175391.35,122611.6
2026-01-02,North America,Hardware,177975.71,128912.46
2026-01-02,North America,Services,154482.95,97026.99
2026-01-03,Europe,Software,114808.83,77956.2
2026-01-03,Europe,Hardware,141290.09,104192.66
2026-01-03,Europe,Services,134027.43,87489.73
2026-01-03,Asia,Software,110927.05,74581.2
2026-01-03,Asia,Hardware,152373.24,113266.45
2026-01-03,Asia,Services,112789.56,71268.54
2026-01-03,North America,Software,173604.64,115499.5
2026-01-03,North America,Hardware,173049.33,122592.03
2026-01-03,North America,Services,166998.98,107936.5
2026-01-04,Europe,Software,132728.82,91775.84
2026-01-04,Europe,Hardware,150303.22,110173.89
2026-01-04,Europe,Services,124809.38,78030.57
2026-01-04,Asia,Software,110554.68,75046.81
2026-01-04,Asia,Hardware,143898.24,106715.93
2026-01-04,Asia,Services,120142.84,77138.61
2026-01-04,North America,Software,169352.74,113805.24
2026-01-04,North America,Hardware,166138.33,120820.48
2026-01-04,North America,Services,146115.14,93000.46
2026-01-05,Europe,Software,137771.73,92189.23
2026-01-05,Europe,Hardware,136244.48,98153.88
2026-01-05,Europe,Services,130365.44,84244.44
2026-01-05,Asia,Software,108140.21,74787.94
2026-01-05,Asia,Hardware,147849.27,107323.75
2026-01-05,Asia,Services,125645.63,78806.42
2026-01-05,North America,Software,148436.99,98454.39
2026-01-05,North America,Hardware,197990.72,144202.63
2026-01-05,North America,Services,144677.7,92599.53
2026-01-06,Europe,Software,116860.75,80401.35
2026-01-06,Europe,Hardware,151022.86,109459.67
2026-01-06,Europe,Services,131140.37,84585.91
2026-01-06,Asia,Software,103548.03,68670.58
2026-01-06,Asia,Hardware,129708.3,97311.2
2026-01-06,Asia,Services,128802.36,83421.26
2026-01-06,North America,Software,158843.02,111053.89
2026-01-06,North America,Hardware,201324.07,148879.11
2026-01-06,North America,Services,156178.57,98588.36
2026-01-07,Europe,Software,115601.13,80507.65
2026-01-07,Europe,Hardware,151969.74,108956.76
2026-01-07,Europe,Services,131802.11,84754.3
2026-01-07,Asia,Software,99179.19,68884.89
2026-01-07,Asia,Hardware,152254.73,112609.5
2026-01-07,Asia,Services,115840.79,74704.41
2026-01-07,North America,Software,172370.21,118265.57
2026-01-07,North America,Hardware,170546.51,123870.04
2026-01-07,North America,Services,141258.8,90373.04
2026-01-08,Europe,Software,123252.92,82024.4
2026-01-08,Europe,Hardware,139522.74,102387.2
2026-01-08,Europe,Services,127808.37,83883.78
2026-01-08,Asia,Software,110039.94,74139.66
2026-01-08,Asia,Hardware,147060.29,104280.28
2026-01-08,Asia,Services,131230.61,83898.41
2026-01-08,North America,Software,181129.81,120084.61
2026-01-08,North America,Hardware,189571.04,138309.7
2026-01-08,North America,Services,176083.18,113178.23
2026-01-09,Europe,Software,128179.23,85943.23
2026-01-09,Europe,Hardware,148542.45,108570.49
2026-01-09,Europe,Services,137277.39,85335.73
2026-01-09,Asia,Software,116845.68,81343.68
2026-01-09,Asia,Hardware,132005.57,96676.49
2026-01-09,Asia,Services,107530.98,69531.04
2026-01-09,North America,Software,161339.64,110760.38
2026-01-09,North America,Hardware,201321.07,149333.28
2026-01-09,North America,Services,144901.02,95051.43
2026-01-10,Europe,Software,121115.05,80072.36
2026-01-10,Europe,Hardware,157445.78,114045.28
2026-01-10,Europe,Services,150929.85,98381.64
2026-01-10,Asia,Software,104006.01,72645.94
2026-01-10,Asia,Hardware,137761.93,100657.06
2026-01-10,Asia,Services,112162.16,73661.83
2026-01-10,North America,Software,157180.33,103964.16
2026-01-10,North America,Hardware,188674.57,141801.4
2026-01-10,North America,Services,175674.93,114109.04
2026-01-11,Europe,Software,142192.73,98973.62
2026-01-11,Europe,Hardware,156706.06,113132.01
2026-01-11,Europe,Services,149565.73,96650.54
2026-01-11,Asia,Software,105888.82,70252.39
2026-01-11,Asia,Hardware,154223.82,110978.81
2026-01-11,Asia,Services,132138.28,83254.16
2026-01-11,North America,Software,156063.66,108231.61
2026-01-11,North America,Hardware,176390.06,126286.81
2026-01-11,North America,Services,165044.92,108002.62
2026-01-12,Europe,Software,120992.33,81338.45
2026-01-12,Europe,Hardware,167025.98,125380.72
2026-01-12,Europe,Services,140965.07,88290.04
2026-01-12,Asia,Software,96832.25,64777.87
2026-01-12,Asia,Hardware,133244.91,98305.62
2026-01-12,Asia,Services,109163.33,69891.07
2026-01-12,North America,Software,180291.28,123194.75
2026-01-12,North America,Hardware,179223.52,133220.54
2026-01-12,North America,Services,170185.72,110480.65
2026-01-13,Europe,Software,119400.46,79359.41
2026-01-13,Europe,Hardware,173331.08,125754.11
2026-01-13,Europe,Services,134721.17,86162.49
2026-01-13,Asia,Software,114341.18,79877.54
2026-01-13,Asia,Hardware,139200.17,104206.17
2026-01-13,Asia,Services,106776.66,68563.39
2026-01-13,North America,Software,178480.07,118496.6
2026-01-13,North America,Hardware,177144.57,128687.95
2026-01-13,North America,Services,180616.33,116260.57
2026-01-14,Europe,Software,145166.21,100515.69
2026-01-14,Europe,Hardware,156564.68,116244.99
2026-01-14,Europe,Services,125585.56,78489.86
2026-01-14,Asia,Software,119193.28,82494.88
2026-01-14,Asia,Hardware,137829.6,100801.36
2026-01-14,Asia,Services,124058.19,81149.09
2026-01-14,North America,Software,177875.36,120320.75
2026-01-14,North America,Hardware,188743.29,137169.87
2026-01-14,North America,Services,169005.73,110548.62
2026-01-15,Europe,Software,130539.45,87423.82
2026-01-15,Europe,Hardware,148388.96,109922.89
2026-01-15,Europe,Services,153391.21,95845.37
2026-01-15,Asia,Software,99345.61,67937.78
2026-01-15,Asia,Hardware,135285.66,100682.33
2026-01-15,Asia,Services,115912.09,72598.6
2026-01-15,North America,Software,191843.97,127835.94
2026-01-15,North America,Hardware,185266.3,132433.59
2026-01-15,North America,Services,148575.22,92356.15
2026-01-16,Europe,Software,118361.57,78914.66
2026-01-16,Europe,Hardware,141957.05,104195.35
2026-01-16,Europe,Services,149306.46,94946.28
2026-01-16,Asia,Software,106438.18,72397.62
2026-01-16,Asia,Hardware,161756.18,120569.75
2026-01-16,Asia,Services,108543.91,68140.56
2026-01-16,North America,Software,163849.6,109742.37
2026-01-16,North America,Hardware,199452.49,144868.78
2026-01-16,North America,Services,146526.19,93065.64
2026-01-17,Europe,Software,133758.19,88781.76
2026-01-17,Europe,Hardware,172372.8,122449.49
2026-01-17,Europe,Services,158285.83,98866.27
2026-01-17,Asia,Software,120932.21,84220.61
2026-01-17,Asia,Hardware,166104.84,123453.89
2026-01-17,Asia,Services,130567.25,84277.42
2026-01-17,North America,Software,187315.34,124581.51
2026-01-17,North America,Hardware,198543.91,145060.74
2026-01-17,North America,Services,179072.99,114350.91
2026-01-18,Europe,Software,129818.27,89015.63
2026-01-18,Europe,Hardware,151220.98,108005.33
2026-01-18,Europe,Services,143414.48,91327.57
2026-01-18,Asia,Software,104942.49,70793.62
2026-01-18,Asia,Hardware,144725.52,104556.13
2026-01-18,Asia,Services,119266.99,77181.55
2026-01-18,North America,Software,167629.34,117057.81
2026-01-18,North America,Hardware,217322.89,158464.0
2026-01-18,North America,Services,158720.86,101797.32
2026-01-19,Europe,Software,145209.71,99646.62
2026-01-19,Europe,Hardware,172547.09,126206.68
2026-01-19,Europe,Services,149336.6,94360.6
2026-01-19,Asia,Software,118905.5,79412.0
2026-01-19,Asia,Hardware,157096.47,117162.47
2026-01-19,Asia,Services,112394.95,72426.43
2026-01-19,North America,Software,159691.33,110060.73
2026-01-19,North America,Hardware,178543.21,133745.68
2026-01-19,North America,Services,151700.41,99761.38
2026-01-20,Europe,Software,144212.54,98615.74
2026-01-20,Europe,Hardware,172347.73,128041.61
2026-01-20,Europe,Services,160809.57,101395.25
2026-01-20,Asia,Software,115422.43,76580.24
2026-01-20,Asia,Hardware,154839.81,110803.76
2026-01-20,Asia,Services,125668.88,80777.61
2026-01-20,North America,Software,176090.64,119904.23
2026-01-20,North America,Hardware,211668.78,157292.53
2026-01-20,North America,Services,166465.92,107174.82
